order_id,user_id,order_date,category,revenue,group,visited,ordered
1001,1,2024-03-01,electronics,249.9,A,1,1
1002,2,2024-03-01,books,18.5,A,1,1
1003,3,2024-03-01,home,72.0,B,1,1
1004,4,2024-03-02,books,21.9,B,1,1
1005,5,2024-03-02,beauty,35.2,A,1,1
1006,6,2024-03-02,electronics,199.0,B,1,1
1007,7,2024-03-03,home,64.3,A,1,1
1008,8,2024-03-03,books,14.4,B,1,1
1009,9,2024-03-03,beauty,42.1,B,1,1
1010,10,2024-03-04,electronics,310.0,A,1,1
1011,11,2024-03-04,home,88.7,B,1,1
1012,12,2024-03-04,books,16.8,A,1,1
1013,13,2024-03-05,beauty,39.9,B,1,1
1014,14,2024-03-05,electronics,159.0,A,1,1
1015,15,2024-03-05,home,95.5,B,1,1
1016,16,2024-03-06,books,24.9,B,1,1
1017,17,2024-03-06,beauty,28.6,A,1,1
1018,18,2024-03-06,electronics,220.0,B,1,1
1019,19,2024-03-07,home,110.4,A,1,1
1020,20,2024-03-07,books,19.6,B,1,1
1021,21,2024-03-07,beauty,31.2,A,1,1
1022,22,2024-03-08,electronics,280.0,B,1,1
1023,23,2024-03-08,books,12.9,A,1,1
1024,24,2024-03-08,home,77.7,B,1,1
1025,25,2024-03-09,beauty,47.3,B,1,1
1026,26,2024-03-09,electronics,190.0,A,1,1
1027,27,2024-03-09,books,25.1,B,1,1
1028,28,2024-03-10,home,69.9,A,1,1
1029,29,2024-03-10,beauty,33.4,B,1,1
1030,30,2024-03-10,electronics,260.0,B,1,1
,31,2024-03-02,,0,B,1,0
,32,2024-03-03,,0,A,1,0
,33,2024-03-04,,0,B,1,0
,34,2024-03-05,,0,A,1,0
,35,2024-03-06,,0,B,1,0
,36,2024-03-07,,0,A,1,0
,37,2024-03-08,,0,B,1,0
,38,2024-03-09,,0,A,1,0
,39,2024-03-10,,0,B,1,0
,40,2024-03-01,,0,A,1,0
,41,2024-03-02,,0,B,1,0
,42,2024-03-03,,0,A,1,0
,43,2024-03-04,,0,B,1,0
,44,2024-03-05,,0,A,1,0
,45,2024-03-06,,0,B,1,0
,46,2024-03-07,,0,A,1,0
,47,2024-03-08,,0,B,1,0
,48,2024-03-09,,0,A,1,0
,49,2024-03-10,,0,B,1,0
,50,2024-03-01,,0,A,1,0
,51,2024-03-02,,0,B,1,0
,52,2024-03-03,,0,A,1,0
,53,2024-03-04,,0,B,1,0
,54,2024-03-05,,0,A,1,0
,55,2024-03-06,,0,B,1,0
,56,2024-03-07,,0,A,1,0
,57,2024-03-08,,0,B,1,0
,58,2024-03-09,,0,A,1,0
,59,2024-03-10,,0,B,1,0
,60,2024-03-01,,0,A,1,0
,61,2024-03-02,,0,B,1,0
,62,2024-03-03,,0,A,1,0
,63,2024-03-04,,0,B,1,0
,64,2024-03-05,,0,A,1,0
,65,2024-03-06,,0,B,1,0
,66,2024-03-07,,0,A,1,0
,67,2024-03-08,,0,B,1,0
,68,2024-03-09,,0,A,1,0
,69,2024-03-10,,0,B,1,0
,70,2024-03-01,,0,A,1,0
,71,2024-03-02,,0,B,1,0
,72,2024-03-03,,0,A,1,0
,73,2024-03-04,,0,B,1,0
,74,2024-03-05,,0,A,1,0
,75,2024-03-06,,0,B,1,0
,76,2024-03-07,,0,A,1,0
,77,2024-03-08,,0,B,1,0
,78,2024-03-09,,0,A,1,0
,79,2024-03-10,,0,B,1,0
,80,2024-03-01,,0,A,1,0
,81,2024-03-02,,0,B,1,0
,82,2024-03-03,,0,A,1,0
,83,2024-03-04,,0,B,1,0
,84,2024-03-05,,0,A,1,0
,85,2024-03-06,,0,B,1,0
,86,2024-03-07,,0,A,1,0
,87,2024-03-08,,0,B,1,0
,88,2024-03-09,,0,A,1,0
,89,2024-03-10,,0,B,1,0
,90,2024-03-01,,0,A,1,0
,91,2024-03-02,,0,B,1,0
,92,2024-03-03,,0,A,1,0
,93,2024-03-04,,0,B,1,0
,94,2024-03-05,,0,A,1,0
,95,2024-03-06,,0,B,1,0
,96,2024-03-07,,0,A,1,0
,97,2024-03-08,,0,B,1,0
,98,2024-03-09,,0,A,1,0
,99,2024-03-10,,0,B,1,0
,100,2024-03-01,,0,A,1,0
,101,2024-03-02,,0,B,1,0
,102,2024-03-03,,0,A,1,0
,103,2024-03-04,,0,B,1,0
,104,2024-03-05,,0,A,1,0
,105,2024-03-06,,0,B,1,0
,106,2024-03-07,,0,A,1,0
,107,2024-03-08,,0,B,1,0
,108,2024-03-09,,0,A,1,0
,109,2024-03-10,,0,B,1,0
,110,2024-03-01,,0,A,1,0
,111,2024-03-02,,0,B,1,0
,112,2024-03-03,,0,A,1,0
,113,2024-03-04,,0,B,1,0
,114,2024-03-05,,0,A,1,0
,115,2024-03-06,,0,B,1,0
,116,2024-03-07,,0,A,1,0
,117,2024-03-08,,0,B,1,0
,118,2024-03-09,,0,A,1,0
,119,2024-03-10,,0,B,1,0
,120,2024-03-01,,0,A,1,0
